sampleid,target,prediction
809237-0,1,1
745806-0,1,1
1158255-0,1,1
506686-0,1,1
1977658-0,1,1
759863-0,1,1
1064376-0,1,1
2165024-0,1,1
96954-0,1,1
144210-0,1,1
1326090-0,1,1
1180515-0,1,1
2105065-0,1,1
1794749-0,1,1
941506-0,1,1
1809764-0,1,1
599100-0,1,1
678400-0,1,1
326319-0,1,1
2151528-0,1,1
283608-0,1,1
1676934-0,1,1
1152119-0,1,1
1006156-0,1,1
1617338-0,1,1
1495604-0,1,1
1512874-0,1,1
278714-0,1,1
578190-0,1,1
1435121-0,1,1
1887565-0,1,1
681853-0,1,1
1587394-0,1,1
2247593-0,1,1
70198-0,1,1
586603-0,1,1
2038861-0,1,1
1628339-0,1,1
1243733-0,1,1
651961-0,1,1
1141358-0,1,1
450493-0,1,1
1487144-0,1,1
1758821-0,1,1
756082-0,1,1
1330943-0,1,1
531943-0,1,1
368212-0,1,1
310006-0,1,1
2056624-0,1,1
391716-0,1,1
1561793-0,1,1
354172-0,1,1
1503794-0,1,1
168938-0,1,1
1174115-0,1,1
88842-0,1,1
1633915-0,1,1
30757-0,1,1
1590390-0,1,1
98805-0,1,1
1520069-0,1,1
637707-0,1,1
1588110-0,1,1
972088-0,1,1
1677285-0,1,1
1604803-0,1,1
1762323-0,1,1
1589985-0,1,1
355740-0,1,1
1553907-0,1,1
653213-0,1,1
1995699-0,1,1
1687338-0,1,1
2056676-0,1,1
1841736-0,1,1
1909954-0,1,1
1728904-0,1,1
1055047-0,1,1
797813-0,1,1
1411965-0,1,1
435309-0,1,1
2219218-0,1,1
1498966-0,1,1
926830-0,1,1
210886-0,1,1
2183764-0,1,1
106540-0,1,1
1922569-0,1,1
1209113-0,1,1
2205673-0,1,1
98302-0,1,1
2105239-0,1,1
1676315-0,1,1
316006-0,1,1
1342708-0,1,1
663409-0,1,1
851805-0,1,1
357208-0,1,1
1118436-0,1,1
1618385-0,1,1
1963994-0,1,1
1251667-0,1,1
2215094-0,1,1
2049456-0,1,1
1518863-0,1,1
2206861-0,1,1
922700-0,1,1
611116-0,1,1
798374-0,1,1
2109912-0,1,1
1565291-0,1,1
84128-0,1,1
821944-0,1,1
2021676-0,1,1
205418-0,1,1
1880217-0,1,1
2004939-0,1,1
933173-0,1,1
771719-0,1,1
1684449-0,1,1
59158-0,1,1
466617-0,1,1
860677-0,1,1
225844-0,1,1
1014956-0,1,1
757147-0,1,1
1555290-0,1,1
201761-0,1,1
75057-0,1,1
1722269-0,1,1
1054640-0,1,1
1695803-0,1,1
606386-0,1,1
471864-0,1,1
63519-0,1,1
1686225-0,1,1
528334-0,1,1
1630639-0,1,1
16269-0,1,1
1498232-0,1,1
1757155-0,1,1
778150-0,1,1
2145788-0,1,1
1464527-0,1,1
1419550-0,1,1
906856-0,1,1
1744999-0,1,1
906493-0,1,1
1635436-0,1,1
2096934-0,1,1
914034-0,1,1
356610-0,1,1
938718-0,1,1
1089661-0,1,1
1091594-0,1,1
2160175-0,1,1
542652-0,1,1
1616666-0,1,1
1450853-0,1,1
1442358-0,1,1
794499-0,1,1
898094-0,1,1
2192834-0,1,1
1424026-0,1,1
2157512-0,1,1
2024845-0,1,1
863060-0,1,1
821628-0,1,1
493582-0,1,1
1839267-0,1,1
966539-0,1,1
749629-0,1,1
1454423-0,1,1
322576-0,1,1
1314011-0,1,1
1005661-0,1,1
433734-0,1,1
1528138-0,1,1
914292-0,1,1
1621375-0,1,1
126355-0,1,1
84247-0,1,1
1628858-0,1,1
664937-0,1,1
101083-0,1,1
1572794-0,1,1
1567018-0,1,1
2228298-0,1,1
2096007-0,1,1
1134241-0,1,1
1923220-0,1,1
2248306-0,1,1
238283-0,1,1
613006-0,1,1
1076461-0,1,1
664706-0,1,1
2154422-0,1,1
1601128-0,1,1
823707-0,1,1
151767-0,1,1
1986684-0,1,1
1529132-0,1,1
1592663-0,1,1
1109580-0,1,1
134469-0,1,1
1385441-0,1,1
795172-0,1,1
1494174-0,1,1
544447-0,1,1
2088200-0,1,1
493782-0,1,1
1734677-0,1,1
1151249-0,1,1
1866634-0,1,1
2098891-0,1,1
52329-0,1,1
1476332-0,1,1
1880895-0,1,1
1691607-0,1,1
1466205-0,1,1
1266578-0,1,1
1291815-0,1,1
1369146-0,1,1
1592614-0,1,1
605177-0,1,1
2009912-0,1,1
708355-0,1,1
333964-0,1,1
1375457-0,1,1
626891-0,1,1
101023-0,1,1
398922-0,1,1
595863-0,1,1
2131317-0,1,1
580554-0,1,1
268012-0,1,1
1073637-0,1,1
1141150-0,1,1
2046442-0,1,1
665458-0,1,1
564174-0,1,1
1970065-0,1,1
2113867-0,1,1
557758-0,1,1
714310-0,1,1
539930-0,1,1
1978618-0,1,1
1447546-0,1,1
365485-0,1,1
504277-0,1,1
5066-0,1,1
2215805-0,1,1
1299759-0,1,1
1589672-0,1,1
939945-0,1,1
1623903-0,1,1
796099-0,1,1
1751997-0,1,1
47837-0,1,1
430522-0,1,1
320218-0,1,1
1500801-0,1,1
2208634-0,1,1
1555807-0,1,1
1738674-0,1,1
229702-0,1,1
1898719-0,1,1
2127288-0,1,1
1840042-0,1,1
1699631-0,1,1
10202-0,1,1
1259005-0,1,1
712499-0,1,1
1677931-0,1,1
1299274-0,1,1
1340016-0,1,1
2021834-0,1,1
1930169-0,1,1
1895174-0,1,1
169206-0,1,1
